Gene_Name	Best_Theta	Group	CHROM	START	STOP	STRAND	SIGVAL	Best_Theta_0	Loss_Diff_0	Category_0	Best_Theta_30	Loss_Diff_30	Category_30	Best_Theta_60	Loss_Diff_60	Category_60	Best_Theta_120	Loss_Diff_120	Category_120
YHR053C	NA	Bad	chrVIII	212534	212720	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR054C	NA	Bad	chrVIII	213184	214249	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR054W-A	NA	Bad	chrVIII	214507	214702	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR055C	NA	Bad	chrVIII	214532	214718	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR056C	NA	Bad	chrVIII	215182	217834	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR056W-A	NA	Bad	chrVIII	217405	217840	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR057C	NA	Bad	chrVIII	218225	218843	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR058C	354	Low	chrVIII	218996	219884	-	1	389	0.1358361	Low	332	0.0901312	Low	540	0.002246189	Low	354	0.9904573	Low
YHR059W	NA	Bad	chrVIII	220107	220500	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR060W	NA	Bad	chrVIII	220724	221270	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR061C	451	Low	chrVIII	221533	222478	-	1	NA	NA	bad_match	543	0.1471834	Low	295	0.4057303	Low	451	0.9516092	Low
YHR062C	514	Low	chrVIII	222876	223758	-	1	NA	NA	bad_match	350	0.4037142	Low	651	0.03306575	Low	514	1.031311	Low
YHR063C	151	Bad	chrVIII	224029	225169	-	1	NA	NA	bad_match	NA	NA	bad_match	151	0	Low	NA	NA	bad_match
YHR063W-A	NA	Bad	chrVIII	225441	225777	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR064C	NA	Bad	chrVIII	225524	227141	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR065C	987	Low	chrVIII	227531	229037	-	1	NA	NA	bad_match	1226	1.370435	Low	987	1.5649	Low	560	1.115725	Low
YHR066W	173	Low	chrVIII	229334	230696	+	1	905	1.15941	Low	173	0.1886826	Low	1214	0.0002090911	Low	151	0	Low
YHR067W	203	Low	chrVIII	230969	231812	+	1	438	1.368894	Low	151	0.1931744	Low	203	0.9650804	Low	151	0.4960219	Low
YHR068W	403	Low	chrVIII	232132	233296	+	1	NA	NA	bad_match	403	1.236713	Low	242	0.8509764	Low	151	0	Low
YHR069C	343	Low	chrVIII	233578	234658	-	1	NA	NA	bad_match	343	1.067032	Low	510	0.05967251	Low	655	0.6116156	Low
YHR069C-A	NA	Bad	chrVIII	234873	235236	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR070C-A	NA	Bad	chrVIII	236101	236512	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR070W	NA	Bad	chrVIII	234880	236380	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR071C-A	NA	Bad	chrVIII	238909	239230	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR071W	NA	Bad	chrVIII	237003	237693	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR072W	NA	Bad	chrVIII	239097	241293	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR072W-A	NA	Bad	chrVIII	241663	241840	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR073C-B	NA	Bad	chrVIII	245421	245502	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR073W	NA	Bad	chrVIII	242581	245572	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR073W-A	NA	Bad	chrVIII	242867	243044	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR074W	1608	Low	chrVIII	246192	248337	+	1	NA	NA	bad_match	1380	0.4023517	Low	1093	0.4864037	Low	1608	0.8285457	Low
YHR075C	1026	Low	chrVIII	248438	249641	-	1	468	0.6471845	Low	908	0.3423489	Low	1026	1.371452	Low	993	0.5599714	Low
YHR076W	NA	Bad	chrVIII	251100	252225	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR077C	NA	Bad	chrVIII	252373	255756	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR078W	151	Low	chrVIII	256359	258018	+	1	NA	NA	bad_match	1454	0.0684228	Low	1141	0.0020852	Low	151	0.4578115	Low
YHR079C	1696	Low	chrVIII	258243	261591	-	1	NA	NA	bad_match	1928	0.9599473	Low	1696	1.05133	Low	675	0.3253693	Low
YHR079C-A	NA	Bad	chrVIII	262191	262553	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR080C	1622	Low	chrVIII	262800	266838	-	1	NA	NA	bad_match	813	0.385385	Low	1622	0.864372	Low	1600	0.1314947	Low
YHR081W	NA	Bad	chrVIII	267537	268092	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR082C	341	Low	chrVIII	268458	271548	-	1	NA	NA	bad_match	341	0.6755957	Low	898	0.188774	Low	182	0.06093945	Low
YHR083W	151	Low	chrVIII	272626	273616	+	1	NA	NA	bad_match	151	0.3597611	Low	838	0.06099719	Low	151	0.2652396	Low
YHR084W	151	Low	chrVIII	274173	276240	+	1	NA	NA	bad_match	151	0.498472	Low	151	0	Low	900	0.06687978	Low
YHR085W	569	Low	chrVIII	276763	277768	+	1	807	1.358642	Low	569	0.5219022	Low	857	0.04849583	Low	151	0	Low
YHR086W	188	Low	chrVIII	278152	279724	+	1	NA	NA	bad_match	484	0.3038899	Low	188	0.3787299	Low	151	0	Low
YHR086W-A	NA	Bad	chrVIII	280230	280392	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR087W	NA	Bad	chrVIII	280819	281155	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR088W	151	Low	chrVIII	281494	282382	+	1	221	4.484545	High	151	0.1082112	Low	151	0.007385407	Low	151	0.01539218	Low
YHR089C	NA	Bad	chrVIII	282680	283298	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR090C	151	Low	chrVIII	283776	284625	-	1	532	1.168365	Low	614	0.03984922	Low	151	1.182817	Low	254	0.2680193	Low
YHR091C	541	Low	chrVIII	284838	286770	-	1	NA	NA	bad_match	465	0.2138228	Low	200	0.4027607	Low	541	1.304653	Low
YHR092C	773	Low	chrVIII	287080	288811	-	1	NA	NA	bad_match	1489	0.04126818	Low	1460	0.244247	Low	773	0.2626729	Low
YHR093W	NA	Bad	chrVIII	289141	289690	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR094C	1506	Bad	chrVIII	290912	292625	-	1	NA	NA	bad_match	NA	NA	bad_match	1506	0.0276263	Low	151	0	Low
YHR095W	NA	Bad	chrVIII	292942	293437	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR096C	296	Low	chrVIII	294668	296447	-	1	NA	NA	reads<=5 	1631	0.1116753	Low	307	0.3342626	Low	296	0.3392829	Low
YHR097C	NA	Bad	chrVIII	297384	298609	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR098C	628	Low	chrVIII	299144	301934	-	1	NA	NA	bad_match	2104	0.0865038	Low	628	0.5295771	Low	1846	0.2350928	Low
YHR099W	3202	Low	chrVIII	302760	313995	+	1	NA	NA	bad_match	3202	0.8830505	Low	2888	0.7898194	Low	2782	0.316999	Low
YHR100C	NA	Bad	chrVIII	314115	314673	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR101C	NA	Bad	chrVIII	314873	315968	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR102W	1118	Low	chrVIII	316571	319814	+	1	NA	NA	bad_match	1118	0.4547792	Low	2080	0.2083681	Low	1077	0.2304377	Low
YHR103W	623	Low	chrVIII	320413	322972	+	1	NA	NA	bad_match	1329	0.2168682	Low	623	0.6593673	Low	203	0.02644717	Low
YHR104W	253	Low	chrVIII	323408	324392	+	1	NA	NA	bad_match	274	0.1058139	Low	151	0	Low	253	0.2054065	Low
YHR105W	NA	Bad	chrVIII	324765	325410	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR106W	681	Medium	chrVIII	325597	326626	+	1	NA	NA	bad_match	681	2.199929	Medium	680	1.628163	Low	302	1.12682	Low
YHR107C	218	Low	chrVIII	326812	328036	-	1	NA	NA	bad_match	218	0.03673144	Low	151	0	Low	151	0.0176331	Low
YHR108W	1439	Bad	chrVIII	328302	330060	+	1	NA	NA	bad_match	NA	NA	bad_match	1502	0.03474543	Low	1439	0.4718702	Low
YHR109W	1512	Low	chrVIII	330309	332067	+	1	1550	0.04915093	Low	1512	0.4478018	Low	151	0.3695337	Low	451	0.3564302	Low
YHR110W	NA	Bad	chrVIII	332281	332920	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR111W	751	Low	chrVIII	333071	334394	+	1	NA	NA	bad_match	751	1.042415	Low	851	0.5739731	Low	1147	0.2152665	Low
YHR112C	846	Low	chrVIII	334526	335663	-	1	NA	NA	bad_match	980	0.06967186	Low	151	0	Low	846	1.518043	Low
YHR113W	819	Low	chrVIII	336336	337809	+	1	NA	NA	bad_match	449	0.01823794	Low	819	0.8563454	Low	555	0.5863945	Low
YHR114W	1704	High	chrVIII	338082	339984	+	1	NA	NA	bad_match	1677	4.962237	High	1701	2.810173	Medium	1704	5.925135	High
YHR115C	931	Low	chrVIII	340108	341359	-	1	NA	NA	bad_match	934	0.7225674	Low	620	1.051164	Low	931	1.564213	Low
YHR116W	NA	Bad	chrVIII	341664	342120	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR117W	1338	Low	chrVIII	342348	344268	+	1	NA	NA	bad_match	1338	1.948898	Low	1356	1.151099	Low	1312	0.4574735	Low
YHR118C	510	Low	chrVIII	344320	345628	-	1	NA	NA	bad_match	450	0.4257501	Low	1160	0.05420592	Low	510	1.479836	Low
YHR119W	1158	Low	chrVIII	346042	349285	+	1	NA	NA	bad_match	1106	1.143817	Low	2102	1.596806	Low	1158	1.686876	Low
YHR120W	1512	High	chrVIII	349573	352453	+	1	2138	1.046673	Low	1408	4.088766	High	1446	6.329538	High	1512	6.408332	High
YHR121W	NA	Bad	chrVIII	352755	353319	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR122W	NA	Bad	chrVIII	353624	354320	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR123W	NA	Bad	chrVIII	354814	356081	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR124W	NA	Bad	chrVIII	356560	358444	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR125W	NA	Bad	chrVIII	358857	359163	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR126C	NA	Bad	chrVIII	359701	360181	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR127W	190	Low	chrVIII	360912	361644	+	1	353	3.649221	Medium	235	0.2681146	Low	151	0	Low	190	0.6499035	Low
YHR128W	NA	Bad	chrVIII	362114	362765	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR129C	194	Low	chrVIII	362998	364153	-	1	997	0.3732015	Low	405	0.1242577	Low	194	0.4228958	Low	998	0.2108621	Low
YHR130C	NA	Bad	chrVIII	364964	365300	-	1	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR131C	NA	Bad	chrVIII	365339	367892	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR131W-A	NA	Bad	chrVIII	367746	367992	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR132C	293	Low	chrVIII	368501	369794	-	1	NA	NA	bad_match	293	0.5223947	Low	540	0.05968158	Low	151	0.02445939	Low
YHR132W-A	NA	Bad	chrVIII	370053	370449	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR133C	690	Low	chrVIII	370721	371597	-	1	NA	NA	bad_match	690	1.166593	Low	596	0.4187787	Low	151	0	Low
YHR134W	151	Low	chrVIII	371748	372558	+	1	NA	NA	bad_match	151	0	Low	151	0.2860776	Low	386	0.02131226	Low
YHR135C	1070	Low	chrVIII	372693	374310	-	1	NA	NA	bad_match	1070	1.62321	Low	572	0.2341861	Low	734	1.093078	Low
YHR136C	NA	Bad	chrVIII	374653	375100	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR137C-A	NA	Bad	chrVIII	375737	376388	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR137W	NA	Bad	chrVIII	375708	377250	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR138C	NA	Bad	chrVIII	377354	377699	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR139C	191	Bad	chrVIII	378218	379199	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	191	0.371304	Low
YHR139C-A	NA	Bad	chrVIII	380107	380419	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR140W	NA	Bad	chrVIII	380571	381291	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR141C	NA	Bad	chrVIII	381989	382751	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR142W	366	Low	chrVIII	383537	384488	+	1	NA	NA	bad_match	362	0.2483332	Low	362	0.2646978	Low	366	1.001024	Low
YHR143W	531	Bad	chrVIII	385509	386487	+	1	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match	531	0.2749059	Low
YHR143W-A	NA	Bad	chrVIII	387232	387445	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR144C	791	Low	chrVIII	387787	388726	-	1	NA	NA	bad_match	322	0.09161763	Low	214	0.1369766	Low	791	0.2002249	Low
YHR145C	NA	Bad	chrVIII	388980	389337	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR146W	510	Low	chrVIII	390299	391697	+	1	NA	NA	bad_match	1249	0.3871127	Low	510	0.4012827	Low	229	0.201459	Low
YHR147C	NA	Bad	chrVIII	392638	393283	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR148W	NA	Bad	chrVIII	393533	394085	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR149C	1441	Low	chrVIII	394454	396659	-	1	1788	0.1876939	Low	1170	0.9997406	Low	1441	1.166587	Low	1041	0.372769	Low
YHR150W	825	Low	chrVIII	397250	398990	+	1	NA	NA	bad_match	683	0.7672086	Low	669	0.5884372	Low	825	1.442844	Low
YHR151C	865	Low	chrVIII	399267	400848	-	1	NA	NA	bad_match	865	0.4408725	Low	151	0	Low	151	0.01058659	Low
YHR152W	NA	Bad	chrVIII	401433	401955	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR153C	NA	Bad	chrVIII	402085	402682	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR154W	1405	Medium	chrVIII	402965	406178	+	1	NA	NA	Singular	1883	1.950958	Low	1141	2.700533	Medium	1405	3.421427	Medium
YHR155W	1439	Low	chrVIII	407102	410789	+	1	NA	NA	bad_match	1396	0.7256235	Low	1439	1.169724	Low	1442	1.12625	Low
YHR156C	586	Low	chrVIII	411383	412406	-	1	483	0.4862167	Low	586	0.8708029	Low	376	0.2693121	Low	860	0.1034291	Low
YHR157W	NA	Bad	chrVIII	412906	413455	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR158C	1358	Low	chrVIII	413684	417179	-	1	NA	NA	bad_match	1724	0.4604789	Low	1202	0.5867443	Low	1358	1.222837	Low
YHR159W	1279	Low	chrVIII	417548	419063	+	1	NA	NA	bad_match	651	0.5588932	Low	1279	0.5731922	Low	1283	0.1202769	Low
YHR160C	413	Low	chrVIII	419220	420072	-	1	NA	NA	reads<=5 	413	0.2655907	Low	167	0.2639694	Low	596	0.1404047	Low
YHR161C	396	Low	chrVIII	420372	422286	-	1	NA	NA	bad_match	633	0.03262904	Low	396	0.3881014	Low	500	0.09696751	Low
YHR162W	NA	Bad	chrVIII	423071	423461	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR163W	427	Bad	chrVIII	423723	424473	+	1	NA	NA	bad_match	427	0.06003912	Low	253	0.03201146	Low	NA	NA	bad_match
YHR164C	2244	High	chrVIII	424609	429178	-	1	NA	NA	bad_match	2773	4.643416	High	2244	4.735988	High	2902	2.74606	Medium
YHR165C	NA	Bad	chrVIII	429706	436948	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR165W-A	NA	Bad	chrVIII	436646	436958	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR166C	1011	Medium	chrVIII	437169	439050	-	1	NA	NA	bad_match	1168	1.435294	Low	711	2.126884	Medium	1011	2.527335	Medium
YHR167W	322	Low	chrVIII	439341	440127	+	1	632	0.7060322	Low	322	0.8224518	Low	231	0.2995793	Low	151	0.03876569	Low
YHR168W	832	Low	chrVIII	440376	441933	+	1	151	1.256676	Low	192	0.355424	Low	1409	0.02433777	Low	832	0.360634	Low
YHR169W	158	Low	chrVIII	442180	443476	+	1	328	0.4951726	Low	158	0.2466278	Low	1134	5.105979e-05	Low	1050	0.1642473	Low
YHR170W	299	Low	chrVIII	443827	445384	+	1	NA	NA	bad_match	299	0.1899434	Low	321	0.1721379	Low	1334	0.1455518	Low
YHR171W	537	Low	chrVIII	445712	447605	+	1	NA	NA	bad_match	1745	0.07577826	Low	537	0.42905	Low	1199	0.2051553	Low
YHR172W	1147	Low	chrVIII	448334	450806	+	1	NA	NA	bad_match	1366	0.4981287	Low	1064	0.5172581	Low	1147	0.7830747	Low
YHR173C	NA	Bad	chrVIII	450814	451153	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR174W	919	Bad	chrVIII	451326	452640	+	1	NA	NA	bad_match	NA	NA	bad_match	919	0.1213839	Low	151	0	Low
YHR175W	NA	Bad	chrVIII	452871	453441	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR175W-A	NA	Bad	chrVIII	453557	453707	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR176W	650	Low	chrVIII	454228	455527	+	1	NA	NA	reads<=5 	985	0.3889992	Low	650	0.4334593	Low	1056	0.1141845	Low
YHR177W	NA	Bad	chrVIII	456590	457952	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR178W	299	Low	chrVIII	459298	461530	+	1	1811	0.6420639	Low	206	0.1687888	Low	299	0.2202877	Low	1759	0.08052776	Low
YHR179W	572	Low	chrVIII	462501	463704	+	1	NA	NA	bad_match	572	0.4028404	Low	507	0.3918673	Low	158	0.02690079	Low
YHR180C-B	NA	Bad	chrVIII	466957	467062	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR180W	NA	Bad	chrVIII	465177	465669	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR180W-A	NA	Bad	chrVIII	466931	467114	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR181W	NA	Bad	chrVIII	467227	467914	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR182C-A	NA	Bad	chrVIII	470938	471412	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR182W	1537	High	chrVIII	468218	470576	+	1	NA	NA	bad_match	1432	2.042249	Medium	1573	2.761763	Medium	1537	4.942516	High
YHR183W	NA	Bad	chrVIII	470959	472429	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR184W	NA	Bad	chrVIII	472743	474459	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR185C	NA	Bad	chrVIII	474626	475340	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR186C	1534	Low	chrVIII	475998	480672	-	1	NA	NA	bad_match	1534	1.26001	Low	1458	0.7862525	Low	1934	1.108745	Low
YHR187W	509	Low	chrVIII	480989	481919	+	1	NA	NA	bad_match	774	0.4654223	Low	509	0.8410191	Low	731	0.3446319	Low
YHR188C	1510	Low	chrVIII	482004	483837	-	1	NA	NA	bad_match	1477	1.67956	Low	1510	1.69487	Low	1467	1.389689	Low
YHR189W	NA	Bad	chrVIII	484027	484600	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR190W	251	Low	chrVIII	484844	486179	+	1	NA	NA	bad_match	636	0.06631389	Low	322	0.1142909	Low	251	0.1692989	Low
YHR191C	NA	Bad	chrVIII	486229	486631	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR192W	677	Low	chrVIII	486825	487662	+	1	NA	NA	bad_match	572	0.3309314	Low	677	0.6989191	Low	583	0.05600694	Low
YHR193C	NA	Bad	chrVIII	487711	488236	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YHR193C-A	NA	Bad	chrVIII	488652	489027	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR194W	NA	Bad	chrVIII	488656	490396	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YHR195W	500	Low	chrVIII	490746	491712	+	1	NA	NA	bad_match	605	0.2097936	Low	500	0.9024528	Low	151	0.2623735	Low
YHR196W	866	Low	chrVIII	491930	493658	+	1	NA	NA	bad_match	866	0.7266907	Low	609	0.3105903	Low	704	0.111781	Low
YHR197W	1327	High	chrVIII	493895	496187	+	1	861	0.5186644	Low	1413	4.455523	High	1327	4.663982	High	1720	4.236656	High
YHR198C	514	Low	chrVIII	496314	497280	-	1	NA	NA	bad_match	151	0	Low	151	0.02534691	Low	514	0.03736964	Low
YHR199C	516	Bad	chrVIII	497489	498422	-	1	NA	NA	bad_match	NA	NA	bad_match	151	0.03112667	Low	516	0.9167023	Low
YHR199C-A	NA	Bad	chrVIII	498570	498859	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR200W	234	Bad	chrVIII	499078	499885	+	1	NA	NA	bad_match	NA	NA	bad_match	234	0.002736158	Low	151	0	Low
YHR201C	726	Low	chrVIII	499949	501143	-	1	NA	NA	bad_match	726	0.7454959	Low	679	0.2284876	Low	151	0.4283154	Low
YHR202W	1275	Low	chrVIII	502387	504196	+	1	1243	1.594862	Low	687	0.3747417	Low	744	0.4262247	Low	1275	1.244472	Low
YHR203C	NA	Bad	chrVIII	504475	505530	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YHR204W	876	Medium	chrVIII	506318	508709	+	1	NA	NA	bad_match	876	3.69622	Medium	1242	2.775491	Medium	1338	2.235774	Medium
YHR205W	1816	Low	chrVIII	509362	511837	+	1	NA	NA	bad_match	1816	0.6851792	Low	1585	0.5571011	Low	2026	0.5782102	Low
YHR206W	442	Low	chrVIII	512731	514600	+	1	NA	NA	bad_match	442	0.5583635	Low	192	0.3455935	Low	973	0.2552889	Low
YHR207C	1392	Low	chrVIII	514904	516485	-	1	NA	NA	bad_match	531	0.1299518	Low	879	0.7196094	Low	1392	0.9084463	Low
YHR208W	NA	Bad	chrVIII	517531	518713	+	1	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match
YHR209W	205	Low	chrVIII	519436	520312	+	1	NA	NA	bad_match	190	0.03082152	Low	205	0.6202555	Low	202	0.2980717	Low
YHR210C	731	Low	chrVIII	520711	521737	-	1	765	1.56707	Low	731	0.9470214	Low	595	0.0848267	Low	328	0.2529261	Low
YHR211W	NA	Bad	chrVIII	525391	528619	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	Singular
YHR212C	NA	Bad	chrVIII	537758	538094	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR212W-A	NA	Bad	chrVIII	538741	538945	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR213W	NA	Bad	chrVIII	539150	539747	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YHR213W-A	NA	Bad	chrVIII	540548	540782	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
